[ 0.879511, -43.9522, -0.226523, -21.9286, -0.951439, 1.55009, 0.0912969 ]
[ 0.195067, -43.9522, -0.0760096, -21.9286, -0.849462, 1.40628, 0.280377 ]
[ 0.439511, -44.2991, -0.326866, -21.7302, -0.925945, 1.26248, 0.3344 ]
[ 0.439511, -43.9026, 0.0745044, -22.2262, -0.823968, 1.20496, -0.0437604 ]
[ 0.439511, -43.7044, -0.226523, -21.5814, -0.671004, 1.34876, 0.0912969 ]
[ 0.781733, -43.1594, -0.276695, -22.1766, -0.747486, 1.43504, 0.226354 ]
[ 0.243956, -43.2585, 0.174847, -21.4326, -0.64551, 1.14744, 0.280377 ]
[ 0.439511, -43.2089, -0.0760096, -21.7798, -0.747486, 1.26248, 0.0642855 ]
[ 0.4884, -42.9116, 0.0243331, -21.3334, -0.620015, 1.20496, -0.0167489 ]
[ 0.683956, -43.0107, 0.124676, -21.7302, -0.798474, 1.20496, 0.037274 ]
[ 0.781733, -42.3666, -0.377037, -21.4326, -0.569027, 1.32, 0.0912969 ]
[ 0.4884, -42.6639, -0.0760096, -21.9782, -0.874957, 1.1762, 0.253366 ]
[ 0.732844, -42.3666, 0.225018, -21.879, -0.543533, 1.11868, 0.0912969 ]
[ 0.537289, -42.6143, -0.176352, -22.3254, -0.874957, 1.26248, 0.118308 ]
[ 0.4884, -43.0603, 0.124676, -21.8294, -0.77298, 1.37752, 0.0102626 ]
[ 0.439511, -42.8621, -0.377037, -22.5734, -0.671004, 1.34876, -0.0707718 ]
[ 0.732844, -43.1594, 0.0243331, -22.375, -0.77298, 1.14744, 0.0912969 ]
[ 0.243956, -43.0107, -0.47738, -22.9206, -0.594521, 1.0324, 0.118308 ]
[ 0.439511, -43.5062, -0.176352, -22.871, -0.77298, 1.26248, 0.253366 ]
[ 0.4884, -43.5062, -0.176352, -22.9206, -0.64551, 1.08992, -0.0707718 ]
[ 0.683956, -43.5062, 0.124676, -23.367, -0.849462, 0.831077, 0.0912969 ]
[ 0.830622, -44.2, -0.0760096, -23.0198, -0.594521, 0.802317, 0.0912969 ]
[ 0.732844, -43.9026, 0.0745044, -23.367, -0.925945, 0.888598, 0.280377 ]
[ 0.292844, -44.9432, -0.377037, -23.119, -0.696498, 1.0324, 0.307389 ]
[ 0.439511, -44.7946, -0.47738, -23.8134, -0.976933, 1.0324, 0.0102626 ]
[ 0.4884, -45.1414, -0.0760096, -23.367, -0.849462, 0.917358, 0.037274 ]
[ 0.390622, -45.7856, 0.0243331, -23.7638, -0.823968, 0.859837, 0.118308 ]
[ 0.732844, -45.8351, -0.0258383, -23.615, -0.823968, 1.14744, 0.0912969 ]
[ 0.146178, -46.2811, -0.47738, -23.7638, -0.798474, 1.11868, 0.280377 ]
[ 0.390622, -46.1324, -0.0760096, -23.8134, -0.874957, 0.946119, 0.280377 ]
[ 0.439511, -47.0739, -0.276695, -23.6646, -0.747486, 0.974879, -0.0437604 ]
[ 0.732844, -46.628, -0.326866, -23.4662, -0.900451, 1.1762, 0.0102626 ]
[ 0.586178, -47.1235, 0.0745044, -23.5158, -0.64551, 1.34876, 0.118308 ]
[ 0.195067, -47.8667, 0.0745044, -23.5158, -1.00243, 1.08992, 0.307389 ]
[ 0.243956, -47.3712, -0.176352, -24.0118, -0.77298, 1.26248, 0.253366 ]
[ 0.195067, -48.0649, 0.0243331, -23.8134, -0.976933, 1.26248, -0.0437604 ]
[ 0.586178, -47.7676, -0.377037, -23.9126, -0.874957, 1.55009, 0.118308 ]
[ 0.732844, -48.3622, -0.276695, -23.8134, -0.77298, 1.40628, 0.0912969 ]
[ 0.732844, -48.0649, -0.176352, -23.5158, -0.747486, 1.49257, 0.037274 ]
[ 0.195067, -48.61, 0.124676, -23.863, -0.64551, 1.40628, 0.307389 ]
[ 0.390622, -48.8578, 0.0243331, -23.3174, -0.798474, 1.46381, 0.199343 ]
[ 0.292844, -48.3127, 0.174847, -23.5158, -0.594521, 1.57885, -0.0707718 ]
[ 0.781733, -49.0064, -0.47738, -23.3174, -0.849462, 1.34876, 0.0642855 ]
[ 0.683956, -48.6595, -0.427209, -23.4662, -0.569027, 1.46381, 0.0102626 ]
[ 0.732844, -48.61, -0.176352, -23.4166, -0.900451, 1.46381, 0.199343 ]
[ 0.341733, -48.9073, 0.124676, -23.5654, -0.721992, 1.60761, 0.280377 ]
[ 0.243956, -48.4613, -0.276695, -23.1686, -0.874957, 1.63637, 0.172331 ]
[ 0.683956, -48.5604, 0.124676, -23.5158, -0.823968, 1.32, -0.0707718 ]
[ 0.732844, -47.7676, -0.47738, -23.0694, -0.77298, 1.29124, -0.0707718 ]
[ 0.781733, -48.0154, -0.126181, -23.6646, -0.747486, 1.40628, 0.0912969 ]
[ 0.195067, -47.7676, -0.176352, -23.4662, -0.671004, 1.49257, 0.307389 ]
[ 0.439511, -47.7676, -0.176352, -23.7638, -0.798474, 1.26248, 0.226354 ]
[ 0.341733, -47.6685, -0.126181, -23.3174, -0.620015, 1.26248, -0.0167489 ]
[ 0.781733, -47.0739, -0.0258383, -23.2182, -0.849462, 1.37752, 0.0102626 ]
[ 0.683956, -46.8757, -0.276695, -23.2678, -0.620015, 1.52133, 0.0102626 ]
[ 0.146178, -46.0829, 0.0243331, -23.8134, -0.900451, 1.34876, 0.0912969 ]
[ 0.341733, -46.1324, -0.176352, -23.5158, -0.798474, 1.34876, 0.307389 ]
[ 0.341733, -45.3892, -0.47738, -23.615, -0.900451, 1.23372, -0.0437604 ]
[ 0.586178, -45.4883, -0.226523, -23.3174, -0.849462, 1.26248, 0.226354 ]
[ 0.830622, -45.5874, 0.124676, -23.367, -0.798474, 1.29124, 0.0912969 ]
[ 0.781733, -44.7946, -0.176352, -23.5654, -0.798474, 0.974879, 0.037274 ]
[ 0.635067, -44.7946, 0.0243331, -23.0694, -0.696498, 0.917358, 0.307389 ]
[ 0.0972889, -43.9026, -0.577723, -23.4662, -0.823968, 1.06116, 0.199343 ]
[ 0.341733, -44.1008, -0.678065, -22.871, -0.721992, 1.23372, 0.0102626 ]
[ 0.683956, -43.1594, -0.427209, -23.2678, -0.874957, 1.26248, 0.199343 ]
[ 0.683956, -43.0603, -0.326866, -22.5734, -0.696498, 0.888598, 0.0912969 ]
[ 0.635067, -42.6639, -0.0258383, -22.871, -0.874957, 0.859837, -0.0167489 ]
[ 0.243956, -42.2179, -0.276695, -22.2758, -0.721992, 1.1762, 0.253366 ]
[ 0.0972889, -42.4161, -0.126181, -22.4246, -1.02792, 1.06116, 0.280377 ]
[ 0.537289, -41.871, -0.427209, -21.8294, -0.823968, 0.888598, 0.280377 ]
[ 0.341733, -42.1684, -0.577723, -22.2758, -1.02792, 0.888598, 0.037274 ]
[ 0.4884, -41.9206, -0.226523, -21.8294, -0.849462, 1.00364, 0.0912969 ]
[ 0.0972889, -41.4746, 0.0243331, -21.879, -0.849462, 1.26248, 0.0912969 ]
[ 0.341733, -41.5242, -0.0258383, -21.4326, -0.77298, 1.26248, 0.280377 ]
[ 0.243956, -41.1278, -0.527551, -21.5318, -0.721992, 1.0324, 0.199343 ]
[ 0.390622, -41.0287, -0.47738, -20.887, -0.823968, 1.23372, -0.0707718 ]
[ 0.732844, -40.6818, -0.627894, -21.135, -0.671004, 1.29124, 0.0102626 ]
[ 0.195067, -41.0782, -0.326866, -20.7382, -0.77298, 1.46381, 0.0912969 ]
[ 0.243956, -41.0287, 0.124676, -20.5398, -0.594521, 1.20496, 0.172331 ]
[ 0.341733, -40.4836, -0.326866, -20.639, -0.849462, 1.26248, 0.226354 ]
[ 0.390622, -41.0782, -0.176352, -20.0934, -0.569027, 1.37752, 0.253366 ]
[ 0.781733, -40.5332, -0.47738, -20.2918, -0.900451, 1.49257, -0.0437604 ]
[ 0.537289, -41.1278, -0.276695, -19.9446, -0.747486, 1.57885, -0.0437604 ]
[ 0.781733, -40.88, -0.377037, -20.2918, -0.900451, 1.52133, 0.0642855 ]
[ 0.341733, -41.1278, 0.0243331, -19.9446, -0.798474, 1.55009, 0.307389 ]
[ 0.439511, -41.7224, -0.226523, -20.4902, -0.747486, 1.52133, 0.226354 ]
[ 0.439511, -41.4251, 0.174847, -20.2918, -0.798474, 1.69389, 0.280377 ]
[ 0.781733, -41.326, -0.326866, -20.639, -0.64551, 1.40628, -0.0437604 ]
[ 0.292844, -41.2764, -0.377037, -20.5894, -0.77298, 1.37752, 0.14532 ]
[ 0.683956, -42.1684, -0.226523, -20.9862, -0.569027, 1.40628, 0.0102626 ]
[ 0.439511, -41.5737, -0.326866, -20.5398, -0.747486, 1.63637, 0.307389 ]
