[ -1.22271, -35.6772, -0.0258383, -21.2342, -0.976933, 0.169589, -0.124795 ]
[ -1.12493, -39.3935, -0.0760096, -21.1846, -0.798474, 0.543473, -0.205829 ]
[ -1.17382, -43.1098, -0.678065, -21.3334, -1.05342, 0.687275, 0.0912969 ]
[ -1.32049, -45.2901, -0.979093, -22.3254, -1.1299, 0.888598, -0.259852 ]
[ -0.978267, -45.3892, -0.377037, -22.375, -0.951439, 0.687275, -0.205829 ]
[ -0.978267, -45.6369, -0.47738, -22.4742, -0.823968, 0.600994, 0.0642855 ]
[ -0.489378, -45.5874, -0.226523, -22.7222, -0.874957, 0.572234, -0.151806 ]
[ -0.733822, -44.5468, -0.176352, -22.4742, -0.721992, 0.543473, -0.259852 ]
[ -0.489378, -44.5468, -0.126181, -22.0774, -0.823968, 0.514713, 0.0642855 ]
[ -0.587156, -43.9522, -0.0258383, -21.4326, -0.798474, 0.399672, -0.205829 ]
[ -0.733822, -42.7134, 0.174847, -21.4326, -0.671004, 0.428432, -0.124795 ]
[ -0.0982667, -42.4657, -0.0760096, -21.1846, -0.798474, 0.370911, -0.0977833 ]
[ -0.342711, -42.2179, 0.225018, -20.391, -0.696498, 0.485953, -0.205829 ]
[ -0.489378, -41.2764, -0.126181, -20.5894, -0.798474, 0.399672, 0.0102626 ]
[ 0.0484, -41.871, -0.0760096, -20.4902, -0.64551, 0.428432, 0.0102626 ]
[ -0.0493778, -42.2179, 0.27519, -21.2342, -0.64551, 0.572234, -0.151806 ]
[ -0.147156, -43.0107, -0.276695, -20.9862, -0.874957, 0.457192, -0.232841 ]
[ -0.147156, -43.3576, 0.375532, -21.8294, -0.671004, 0.428432, 0.0642855 ]
[ -0.147156, -44.5964, -0.126181, -22.2758, -0.900451, 0.28463, -0.124795 ]
[ -0.3916, -44.7946, 0.425704, -22.127, -0.569027, 0.28463, -0.232841 ]
[ -0.000488889, -45.8847, -0.0760096, -22.7222, -0.925945, 0.457192, 0.0642855 ]
[ -0.0982667, -46.5784, -0.47738, -22.8214, -0.900451, 0.514713, 0.14532 ]
[ -0.538267, -47.1235, -0.326866, -23.0694, -0.64551, 0.600994, -0.124795 ]
[ -0.880489, -46.3306, -0.527551, -22.623, -0.925945, 0.543473, -0.232841 ]
[ -0.342711, -46.628, -0.427209, -23.0198, -0.900451, 0.428432, 0.0912969 ]
[ -0.8316, -45.8351, -0.728237, -23.3174, -1.00243, 0.342151, -0.124795 ]
[ -1.17382, -45.5378, -0.176352, -22.7222, -0.925945, 0.25587, -0.124795 ]
[ -0.440489, -45.0919, -0.728237, -23.0694, -1.00243, 0.25587, 0.118308 ]
[ -1.02716, -43.5062, -0.0760096, -23.2678, -0.900451, 0.28463, -0.124795 ]
[ -1.17382, -43.5062, -0.728237, -22.2262, -0.976933, 0.313391, -0.178818 ]
[ -0.733822, -42.2675, 0.0243331, -22.3254, -0.874957, 0.399672, 0.0912969 ]
[ -1.07604, -42.317, -0.527551, -22.2758, -1.00243, 0.485953, -0.124795 ]
[ -1.2716, -42.6143, -0.0760096, -21.6806, -0.823968, 0.485953, -0.232841 ]
[ -0.880489, -42.4161, -0.527551, -22.4246, -0.976933, 0.572234, 0.118308 ]
[ -1.17382, -43.7044, -0.126181, -22.3254, -0.874957, 0.600994, -0.0707718 ]
[ -0.733822, -44.1504, -0.47738, -22.9702, -0.976933, 0.629755, -0.178818 ]
[ -0.782711, -45.7856, -0.176352, -23.615, -0.951439, 0.716036, 0.0912969 ]
[ -0.8316, -47.3217, -0.47738, -23.1686, -0.900451, 0.888598, -0.0977833 ]
