[ 0.390622, -40.2854, 0.0745044, -20.7382, -0.64551, 0.946119, 0.037274 ]
[ 0.146178, -40.1863, -0.276695, -20.8374, -0.823968, 0.888598, 0.0642855 ]
[ 0.683956, -40.0377, -0.226523, -21.383, -0.77298, 1.00364, 0.253366 ]
[ 0.146178, -40.9791, -0.678065, -21.5318, -0.696498, 0.888598, 0.0912969 ]
[ 0.341733, -42.0693, -0.176352, -22.3254, -0.925945, 0.831077, 0.0642855 ]
[ 0.243956, -43.8531, -0.627894, -23.9126, -0.849462, 1.00364, 0.037274 ]
[ 0.635067, -45.191, -0.326866, -24.5574, -0.721992, 0.716036, 0.253366 ]
[ 0.195067, -47.3712, -0.0760096, -26.343, -0.849462, 0.313391, 0.0102626 ]
[ 0.195067, -49.7497, -0.627894, -26.591, -0.798474, 0.457192, 0.226354 ]
[ 0.292844, -51.8804, -0.176352, -27.4838, -0.620015, 0.399672, -0.0707718 ]
[ 0.195067, -53.6147, -0.527551, -27.0374, -0.849462, 0.629755, 0.037274 ]
[ 0.0484, -54.3579, 0.124676, -26.2934, -0.823968, 1.14744, 0.0102626 ]
[ 0.537289, -53.9615, -0.527551, -25.6982, -0.594521, 1.43504, -0.0707718 ]
[ 0.0972889, -53.6642, -0.326866, -24.2598, -0.874957, 1.66513, 0.199343 ]
[ 0.635067, -52.6732, -0.126181, -24.2102, -0.798474, 1.95273, 0.0642855 ]
[ 0.243956, -51.3353, -0.577723, -23.1686, -0.64551, 1.80893, 0.226354 ]
[ 0.635067, -49.2046, 0.0745044, -22.623, -0.849462, 1.63637, -0.0437604 ]
[ 0.292844, -46.6775, -0.326866, -22.7222, -0.77298, 1.55009, 0.037274 ]
[ 0.683956, -44.8937, 0.174847, -22.3254, -0.620015, 1.14744, 0.226354 ]
[ 0.292844, -43.1594, 0.124676, -22.7718, -0.798474, 0.917358, 0.0912969 ]
[ 0.537289, -41.8215, -0.176352, -22.2758, -0.747486, 0.744796, 0.253366 ]
[ 0.243956, -40.0377, -0.527551, -22.2262, -0.747486, 0.716036, 0.0642855 ]
[ 0.0484, -39.8395, -0.427209, -21.9286, -0.620015, 0.543473, 0.253366 ]
[ 0.439511, -40.335, -0.47738, -21.7798, -0.849462, 0.802317, -0.0437604 ]
[ 0.537289, -41.0287, -0.627894, -21.2838, -0.925945, 1.0324, 0.280377 ]
[ 0.635067, -42.5648, -0.126181, -21.8294, -0.594521, 1.14744, -0.0167489 ]
[ 0.0484, -44.2495, -0.47738, -21.7302, -0.594521, 1.23372, 0.226354 ]
[ 0.683956, -46.4793, 0.174847, -21.9286, -0.798474, 1.66513, 0.253366 ]
[ 0.146178, -48.9569, 0.0243331, -23.119, -0.77298, 1.46381, -0.0707718 ]
[ 0.292844, -50.2947, -0.0258383, -23.5654, -0.798474, 1.40628, 0.280377 ]
[ 0.195067, -51.9299, 0.0745044, -24.9046, -0.900451, 1.63637, -0.0707718 ]
[ 0.586178, -53.9615, 0.174847, -25.5494, -0.874957, 1.46381, 0.226354 ]
[ 0.0484, -53.4165, 0.0745044, -26.4422, -0.721992, 1.11868, -0.0707718 ]
[ 0.292844, -53.1687, -0.326866, -26.095, -0.798474, 0.859837, 0.0642855 ]
[ 0.243956, -52.475, 0.124676, -26.591, -0.925945, 1.14744, 0.14532 ]
[ -0.000488889, -51.4344, -0.577723, -25.7974, -0.823968, 1.00364, 0.0642855 ]
[ 0.243956, -50.047, 0.0243331, -24.9046, -0.620015, 0.888598, 0.253366 ]
[ 0.0484, -48.2631, -0.377037, -24.0614, -0.900451, 1.26248, 0.037274 ]
[ 0.4884, -46.3306, 0.0745044, -22.9702, -0.747486, 1.11868, 0.037274 ]
[ -0.000488889, -45.6369, -0.427209, -22.623, -0.569027, 1.14744, 0.0912969 ]
[ 0.635067, -44.9928, -0.226523, -21.8294, -0.900451, 1.52133, 0.253366 ]
[ 0.0972889, -44.6955, -0.527551, -22.4742, -0.874957, 1.23372, -0.0977833 ]
[ 0.732844, -45.0919, -0.176352, -22.5734, -0.798474, 1.20496, 0.0642855 ]
[ 0.195067, -46.0333, -0.377037, -22.6726, -0.900451, 1.23372, 0.226354 ]
[ 0.635067, -47.4703, -0.326866, -23.5158, -0.747486, 1.20496, 0.118308 ]
[ 0.341733, -48.6595, -0.176352, -23.7638, -0.569027, 1.08992, 0.280377 ]
[ 0.292844, -49.8983, -0.276695, -24.7558, -0.925945, 1.37752, 0.280377 ]
[ 0.0972889, -50.5425, -0.326866, -24.5078, -0.798474, 1.11868, 0.0912969 ]
[ 0.683956, -50.6911, -0.377037, -24.7558, -0.64551, 1.32, 0.280377 ]
[ 0.0972889, -51.2362, 0.0745044, -25.103, -0.900451, 1.43504, -0.0707718 ]
[ 0.292844, -51.9299, -0.527551, -24.855, -0.747486, 1.06116, 0.199343 ]
[ 0.0972889, -51.7317, -0.276695, -25.2518, -0.64551, 1.40628, 0.0912969 ]
[ 0.243956, -50.6911, 0.0745044, -24.359, -0.849462, 1.40628, 0.0642855 ]
[ 0.0972889, -50.6416, -0.176352, -24.7558, -0.747486, 1.26248, 0.199343 ]
[ 0.586178, -50.2947, -0.176352, -24.111, -0.594521, 1.40628, 0.0642855 ]
[ 0.243956, -49.5515, -0.126181, -24.4086, -0.849462, 1.55009, 0.172331 ]
[ 0.537289, -47.9163, 0.124676, -23.8134, -0.721992, 1.06116, 0.037274 ]
[ 0.243956, -46.9748, -0.527551, -23.367, -0.671004, 1.29124, 0.280377 ]
[ 0.292844, -46.2811, -0.276695, -23.2678, -0.671004, 1.32, -0.0707718 ]
[ 0.0972889, -45.3892, -0.47738, -22.5238, -0.77298, 0.917358, 0.0642855 ]
[ 0.243956, -44.6955, -0.326866, -22.2262, -0.64551, 1.00364, 0.199343 ]
[ 0.0484, -43.3576, -0.126181, -21.7798, -0.925945, 1.32, 0.0642855 ]
[ 0.439511, -42.317, -0.377037, -21.9286, -0.849462, 0.974879, 0.253366 ]
[ 0.292844, -41.9702, -0.0258383, -21.3334, -0.594521, 1.32, -0.0437604 ]
[ 0.4884, -41.7224, -0.126181, -20.9862, -0.900451, 1.14744, 0.226354 ]
[ 0.0972889, -41.4251, -0.0258383, -21.1846, -0.747486, 1.11868, -0.0707718 ]
[ 0.635067, -40.4836, -0.47738, -20.7878, -0.594521, 1.00364, -0.0167489 ]
[ 0.0484, -40.9296, -0.126181, -20.9862, -0.849462, 1.26248, 0.226354 ]
[ 0.586178, -41.1278, 0.124676, -21.0854, -0.747486, 1.0324, 0.0642855 ]
[ 0.0972889, -41.7719, -0.226523, -21.8294, -0.594521, 0.917358, 0.226354 ]
[ 0.830622, -42.4161, 0.0243331, -21.7798, -0.849462, 1.00364, -0.0707718 ]
[ 0.390622, -42.5648, -0.226523, -21.8294, -0.747486, 1.00364, 0.118308 ]
[ 0.341733, -44.0017, 0.0243331, -22.375, -0.747486, 1.08992, -0.0707718 ]
[ 0.781733, -44.7946, -0.176352, -22.5238, -0.543533, 1.00364, 0.253366 ]
[ 0.341733, -45.2901, -0.0760096, -22.5238, -0.798474, 1.11868, 0.226354 ]
[ 0.781733, -46.5289, -0.377037, -23.3174, -0.849462, 1.1762, 0.0642855 ]
[ 0.439511, -47.4703, 0.225018, -23.4166, -0.569027, 1.34876, 0.0102626 ]
[ 0.732844, -48.61, -0.326866, -23.4166, -0.798474, 1.43504, -0.0167489 ]
[ 0.292844, -48.61, 0.225018, -24.0614, -0.721992, 1.06116, 0.280377 ]
[ 0.732844, -49.5019, -0.527551, -23.863, -0.543533, 1.1762, 0.0912969 ]
[ 0.0484, -49.8488, -0.176352, -24.3094, -0.849462, 1.43504, 0.037274 ]
[ 0.390622, -50.2947, -0.47738, -24.4086, -0.925945, 1.0324, 0.0642855 ]
[ 0.243956, -49.9974, -0.0760096, -24.9046, -0.951439, 1.14744, -0.0167489 ]
[ 0.390622, -49.9974, 0.0243331, -24.855, -0.900451, 1.32, 0.280377 ]
[ 0.146178, -49.6506, -0.276695, -24.9542, -0.64551, 1.26248, -0.0437604 ]
[ -0.196044, -49.3533, -0.678065, -24.111, -0.925945, 1.11868, 0.0642855 ]
[ 0.390622, -48.3622, -0.527551, -24.2598, -0.77298, 1.37752, 0.253366 ]
[ 0.195067, -47.8172, -0.377037, -23.367, -0.64551, 1.20496, 0.037274 ]
[ 0.439511, -47.173, -0.377037, -23.0694, -0.64551, 1.1762, 0.253366 ]
[ -0.0493778, -46.6775, 0.0243331, -22.871, -0.77298, 1.34876, -0.0707718 ]
[ 0.390622, -45.1414, -0.728237, -22.8214, -0.798474, 1.23372, 0.0642855 ]
[ 0.0972889, -44.745, -0.0760096, -22.2758, -0.900451, 1.0324, 0.280377 ]
[ 0.439511, -44.0017, -0.47738, -21.6806, -0.900451, 1.20496, -0.0707718 ]
[ 0.243956, -43.2089, -0.377037, -21.879, -0.64551, 1.34876, 0.253366 ]
[ 0.4884, -42.9116, -0.577723, -21.5318, -0.951439, 0.974879, 0.172331 ]
[ 0.292844, -42.2179, -0.0258383, -22.0278, -0.798474, 0.917358, 0.253366 ]
[ 0.390622, -41.6233, -0.527551, -21.383, -0.620015, 1.11868, 0.172331 ]
[ 0.292844, -41.9206, -0.47738, -21.879, -0.849462, 1.00364, 0.0642855 ]
[ 0.195067, -41.7224, 0.0243331, -21.2838, -0.747486, 0.888598, -0.0437604 ]
[ 0.439511, -42.2675, -0.126181, -22.0774, -0.569027, 1.11868, 0.172331 ]
[ 0.781733, -41.871, 0.174847, -21.5318, -0.849462, 1.0324, 0.199343 ]
[ 0.4884, -42.8125, -0.427209, -22.0774, -0.798474, 0.974879, 0.0642855 ]
[ 0.341733, -43.9026, -0.176352, -21.9782, -0.77298, 1.26248, 0.199343 ]
[ 0.732844, -44.1008, -0.326866, -22.5734, -0.569027, 1.14744, 0.0102626 ]
[ 0.195067, -44.6955, 0.225018, -22.1766, -0.823968, 1.23372, 0.172331 ]
[ 0.243956, -46.3802, -0.176352, -22.5734, -0.77298, 1.06116, -0.0707718 ]
[ 0.635067, -46.5289, 0.174847, -23.5654, -0.594521, 1.20496, 0.0912969 ]
[ 0.243956, -47.3217, -0.326866, -23.4166, -0.721992, 1.26248, 0.14532 ]
[ 0.9284, -48.2136, 0.0745044, -24.3094, -0.594521, 1.08992, 0.0642855 ]
[ 0.243956, -49.0064, 0.124676, -24.2598, -0.874957, 1.26248, 0.253366 ]
[ 0.439511, -48.5604, -0.276695, -24.3094, -0.747486, 1.23372, -0.0167489 ]
[ 0.292844, -49.3533, -0.326866, -24.7558, -0.620015, 1.11868, 0.280377 ]
[ 0.537289, -49.7497, -0.0760096, -24.4086, -0.721992, 1.0324, 0.0102626 ]
[ 0.0972889, -49.0064, 0.124676, -24.111, -0.64551, 1.37752, 0.280377 ]
[ 0.586178, -49.1055, 0.0745044, -24.111, -0.620015, 1.43504, 0.0102626 ]
[ 0.4884, -48.9569, -0.0258383, -23.863, -0.874957, 1.26248, 0.253366 ]
[ -0.0982667, -48.164, -0.377037, -23.9622, -0.747486, 1.40628, -0.0167489 ]
[ 0.4884, -47.1235, -0.0760096, -23.119, -0.569027, 1.29124, 0.253366 ]
[ -0.0493778, -47.0244, -0.427209, -23.1686, -0.874957, 1.06116, -0.0437604 ]
[ 0.195067, -46.182, -0.47738, -22.5238, -0.77298, 1.34876, 0.14532 ]
[ -0.0493778, -45.0919, -0.377037, -23.0198, -0.798474, 1.37752, -0.0437604 ]
[ 0.390622, -44.5468, -0.377037, -22.2262, -0.64551, 1.20496, 0.0912969 ]
[ 0.439511, -43.6549, -0.627894, -22.2758, -0.747486, 1.34876, 0.226354 ]
[ 0.439511, -43.5558, -0.377037, -22.1766, -0.594521, 1.34876, 0.037274 ]
[ -0.147156, -43.4567, -0.577723, -21.7798, -0.874957, 1.11868, 0.0642855 ]
[ 0.537289, -42.6143, -0.377037, -22.1766, -0.747486, 0.946119, -0.0707718 ]
[ 0.0484, -42.1188, -0.176352, -22.0774, -0.594521, 1.20496, 0.0102626 ]
[ 0.4884, -42.4657, -0.326866, -22.127, -0.925945, 0.917358, -0.0707718 ]
[ 0.195067, -42.5152, -0.0258383, -21.6806, -0.721992, 1.26248, 0.037274 ]
[ 0.586178, -43.0107, -0.627894, -21.3334, -0.798474, 1.34876, 0.172331 ]
[ -0.000488889, -42.763, -0.0258383, -22.0774, -0.64551, 1.08992, 0.118308 ]
[ 0.732844, -43.4071, -0.377037, -21.5814, -0.874957, 1.26248, 0.253366 ]
[ 0.341733, -43.9026, -0.226523, -22.0774, -0.77298, 1.37752, 0.0102626 ]
[ 0.243956, -44.745, -0.0760096, -21.9782, -0.900451, 1.1762, 0.0642855 ]
[ 0.439511, -44.745, -0.226523, -22.7718, -0.874957, 1.0324, -0.0437604 ]
[ 0.195067, -45.3396, -0.47738, -23.0198, -0.569027, 1.32, 0.0642855 ]
[ 0.4884, -46.182, -0.176352, -23.4662, -0.874957, 1.14744, 0.226354 ]
[ 0.830622, -47.3712, 0.124676, -23.5654, -0.721992, 1.06116, 0.226354 ]
[ 0.781733, -47.9163, -0.326866, -23.5654, -0.594521, 1.26248, 0.0102626 ]
[ 0.243956, -48.164, -0.226523, -24.0614, -0.620015, 1.11868, 0.172331 ]
[ 0.439511, -48.164, -0.47738, -23.8134, -0.77298, 1.0324, 0.0642855 ]
[ 0.243956, -48.9569, -0.176352, -24.359, -0.696498, 1.29124, 0.253366 ]
[ 0.4884, -49.0064, 0.0243331, -24.5078, -0.620015, 1.37752, -0.0707718 ]
[ 0.341733, -48.9569, -0.126181, -24.1606, -0.696498, 1.20496, 0.280377 ]
[ 0.635067, -48.5604, 0.124676, -24.0118, -0.77298, 1.08992, -0.0707718 ]
[ 0.341733, -48.5109, -0.326866, -23.9126, -0.620015, 1.37752, 0.307389 ]
[ 0.586178, -47.9658, -0.0258383, -23.6646, -0.823968, 1.06116, 0.0912969 ]
[ 0.243956, -47.8172, -0.627894, -23.7638, -0.77298, 1.37752, 0.0642855 ]
[ -0.000488889, -46.7271, -0.0258383, -23.119, -0.620015, 1.1762, 0.0642855 ]
