[ 0.000103544, 0.525311, 4.24242e-05, 1.04798, 4.13456e-05, 1.57095, -0.000500641 ]
[ 0.000104742, 0.52535, 4.26638e-05, 1.04801, 4.1046e-05, 1.57095, -0.00050154 ]
[ 0.00010666, 0.525391, 4.36226e-05, 1.04803, 4.13456e-05, 1.57094, -0.000500042 ]
[ 0.000106899, 0.525434, 4.31432e-05, 1.04805, 4.01472e-05, 1.57094, -0.000500042 ]
[ 0.000108817, 0.525481, 4.41019e-05, 1.04808, 4.04468e-05, 1.57094, -0.000500941 ]
[ 0.000109296, 0.525531, 4.33829e-05, 1.0481, 4.07464e-05, 1.57094, -0.000498544 ]
[ 0.000111693, 0.525582, 4.4821e-05, 1.04813, 4.13456e-05, 1.57094, -0.000502439 ]
[ 0.000112652, 0.525636, 4.50607e-05, 1.04816, 4.13456e-05, 1.57093, -0.000500341 ]
[ 0.00011433, 0.52569, 4.55401e-05, 1.04818, 4.1046e-05, 1.57093, -0.000500042 ]
[ 0.000115768, 0.525747, 4.62591e-05, 1.04821, 4.13456e-05, 1.57093, -0.000499143 ]
[ 0.000116487, 0.525805, 4.62591e-05, 1.04823, 4.07464e-05, 1.57093, -0.000498244 ]
[ 0.000118404, 0.525867, 4.72178e-05, 1.04825, 4.13456e-05, 1.57092, -0.000498244 ]
[ 0.000118404, 0.525932, 4.67385e-05, 1.04827, 4.1046e-05, 1.57092, -0.000499143 ]
[ 0.000120322, 0.526001, 4.84163e-05, 1.0483, 4.19448e-05, 1.57092, -0.00050124 ]
[ 0.000120561, 0.526073, 4.84163e-05, 1.04832, 4.2544e-05, 1.57092, -0.000499443 ]
[ 0.00012176, 0.526147, 4.91353e-05, 1.04834, 4.2544e-05, 1.57092, -0.000500641 ]
[ 0.000122718, 0.526224, 4.96147e-05, 1.04837, 4.19448e-05, 1.57092, -0.000498843 ]
[ 0.000122958, 0.526305, 4.98544e-05, 1.04839, 4.22444e-05, 1.57092, -0.000498244 ]
[ 0.000123677, 0.526391, 5.05734e-05, 1.04841, 4.2544e-05, 1.57092, -0.000498244 ]
[ 0.000123438, 0.526479, 5.08131e-05, 1.04844, 4.19448e-05, 1.57093, -0.000497945 ]
[ 0.000123917, 0.526568, 5.15322e-05, 1.04846, 4.2544e-05, 1.57093, -0.000500641 ]
[ 0.000123677, 0.526659, 5.15322e-05, 1.04849, 4.2544e-05, 1.57093, -0.000499143 ]
[ 0.000123917, 0.526753, 5.20115e-05, 1.04852, 4.19448e-05, 1.57093, -0.000500341 ]
[ 0.000123677, 0.52685, 5.17719e-05, 1.04855, 4.16452e-05, 1.57093, -0.00050154 ]
[ 0.000123677, 0.526948, 5.17719e-05, 1.04858, 4.22444e-05, 1.57094, -0.000498244 ]
[ 0.000123917, 0.527045, 5.22512e-05, 1.04862, 4.2544e-05, 1.57094, -0.000497645 ]
[ 0.000123438, 0.527147, 5.15322e-05, 1.04865, 4.2544e-05, 1.57094, -0.000497345 ]
[ 0.000123677, 0.527252, 5.20115e-05, 1.04869, 4.2544e-05, 1.57094, -0.000499742 ]
[ 0.000123677, 0.527356, 5.15322e-05, 1.04872, 4.22444e-05, 1.57094, -0.000499143 ]
[ 0.000123917, 0.527459, 5.17719e-05, 1.04876, 4.22444e-05, 1.57094, -0.000500941 ]
[ 0.000123677, 0.527565, 5.15322e-05, 1.0488, 4.16452e-05, 1.57094, -0.000498544 ]
[ 0.000123917, 0.527673, 5.15322e-05, 1.04883, 4.16452e-05, 1.57094, -0.000500042 ]
[ 0.000123438, 0.527779, 5.17719e-05, 1.04887, 4.22444e-05, 1.57094, -0.000500042 ]
[ 0.000123438, 0.527885, 5.10528e-05, 1.04891, 4.16452e-05, 1.57094, -0.000498544 ]
[ 0.000123438, 0.527993, 5.12925e-05, 1.04895, 4.16452e-05, 1.57094, -0.000499143 ]
[ 0.000123677, 0.528104, 5.12925e-05, 1.04899, 4.13456e-05, 1.57094, -0.000498843 ]
[ 0.000123438, 0.528212, 5.17719e-05, 1.04903, 4.16452e-05, 1.57094, -0.000500042 ]
[ 0.000122718, 0.528318, 5.12925e-05, 1.04906, 4.1046e-05, 1.57094, -0.000498843 ]
[ 0.000123438, 0.528426, 5.15322e-05, 1.0491, 4.1046e-05, 1.57094, -0.000498843 ]
[ 0.000122958, 0.528535, 5.12925e-05, 1.04914, 4.19448e-05, 1.57094, -0.000496147 ]
[ 0.000123677, 0.52864, 5.08131e-05, 1.04918, 4.1046e-05, 1.57094, -0.000497945 ]
[ 0.000122958, 0.528745, 5.15322e-05, 1.04921, 4.19448e-05, 1.57094, -0.000498244 ]
[ 0.000123198, 0.528851, 5.12925e-05, 1.04924, 4.16452e-05, 1.57094, -0.000498244 ]
