[ -1.7116, -39.5917, -0.176352, -21.1846, -0.77298, 0.0833077, 0.658538 ]
[ -1.61382, -39.5421, -0.527551, -20.7382, -0.671004, 0.342151, 0.388423 ]
[ -1.66271, -40.5332, -0.176352, -20.639, -0.798474, 0.169589, 0.415434 ]
[ -1.17382, -40.5332, -0.226523, -21.135, -0.620015, 0.514713, 0.469457 ]
[ -1.46716, -41.4251, -0.577723, -20.639, -0.976933, 0.457192, 0.442446 ]
[ -1.80938, -41.5737, -0.728237, -20.9862, -0.77298, 0.543473, 0.577503 ]
[ -1.85827, -42.6639, -0.276695, -20.7382, -0.823968, 0.744796, 0.631526 ]
[ -1.22271, -42.4161, -0.627894, -20.9366, -0.77298, 0.716036, 0.469457 ]
[ -1.2716, -43.6053, -0.577723, -20.9366, -0.849462, 0.773556, 0.604515 ]
[ -1.85827, -43.3576, -0.979093, -20.9366, -0.721992, 1.06116, 0.685549 ]
[ -1.80938, -44.2, -0.979093, -21.6806, -0.874957, 0.744796, 0.361411 ]
[ -1.36938, -44.2495, -0.728237, -21.3334, -0.798474, 0.917358, 0.442446 ]
[ -1.46716, -44.8937, -0.47738, -21.7798, -1.07891, 1.08992, 0.388423 ]
[ -1.80938, -44.8937, -0.527551, -21.631, -0.823968, 0.773556, 0.685549 ]
[ -1.61382, -45.7856, -0.276695, -22.0278, -0.951439, 0.744796, 0.577503 ]
[ -1.46716, -45.4883, -1.02926, -22.0278, -0.849462, 0.802317, 0.631526 ]
[ -1.12493, -45.7856, -0.728237, -22.1766, -1.07891, 0.629755, 0.3344 ]
[ -1.56493, -45.4883, -0.728237, -22.871, -0.874957, 0.600994, 0.604515 ]
[ -1.56493, -45.9838, -0.627894, -22.8214, -1.07891, 0.687275, 0.496469 ]
[ -1.61382, -45.5378, -0.377037, -22.9702, -0.849462, 0.342151, 0.685549 ]
[ -0.978267, -45.9342, -0.276695, -23.1686, -0.925945, 0.457192, 0.442446 ]
[ -1.02716, -45.3892, -0.828579, -23.2182, -0.798474, 0.28463, 0.496469 ]
[ -1.12493, -45.6865, -0.878751, -23.6646, -0.925945, -0.00297341, 0.71256 ]
[ -1.2716, -45.736, -0.627894, -23.5654, -0.798474, 0.28463, 0.658538 ]
[ -0.782711, -45.5874, -0.176352, -23.5654, -1.02792, -0.0317338, 0.388423 ]
[ -0.782711, -44.745, -0.126181, -23.119, -0.747486, 0.0545473, 0.361411 ]
[ -1.32049, -44.7946, -0.126181, -23.6646, -0.874957, 0.198349, 0.604515 ]
[ -1.02716, -44.8441, -0.627894, -23.0198, -0.77298, 0.140828, 0.685549 ]
[ -0.978267, -44.2495, -0.326866, -23.0198, -0.849462, 0.0545473, 0.658538 ]
[ -0.636044, -44.3982, -0.377037, -23.2182, -0.671004, 0.227109, 0.469457 ]
[ -0.587156, -43.6053, 0.174847, -22.8214, -0.77298, 0.025787, 0.496469 ]
[ -0.8316, -43.8531, 0.124676, -22.7222, -0.64551, 0.25587, 0.71256 ]
[ -0.782711, -43.308, -0.427209, -22.0774, -0.721992, 0.399672, 0.71256 ]
[ -0.3916, -43.2089, 0.0745044, -22.2262, -0.594521, 0.25587, 0.388423 ]
[ -0.8316, -42.317, -0.427209, -22.1766, -0.849462, 0.457192, 0.496469 ]
[ -0.8316, -41.9206, 0.0745044, -21.5318, -0.594521, 0.313391, 0.631526 ]
[ -0.636044, -41.7719, 0.375532, -21.7302, -0.671004, 0.198349, 0.685549 ]
[ -0.196044, -41.326, 0.375532, -20.7382, -0.518039, 0.572234, 0.658538 ]
[ -0.293822, -41.1773, 0.325361, -20.9862, -0.798474, 0.572234, 0.469457 ]
[ -0.147156, -41.5242, -0.126181, -20.4902, -0.518039, 0.399672, 0.442446 ]
[ -0.440489, -40.9296, 0.0745044, -20.887, -0.823968, 0.600994, 0.739572 ]
[ -0.147156, -41.0287, 0.0243331, -20.7878, -0.543533, 0.313391, 0.631526 ]
[ -0.244933, -40.0377, 0.425704, -20.143, -0.671004, 0.28463, 0.361411 ]
[ -0.587156, -40.5332, 0.325361, -20.5398, -0.543533, 0.658515, 0.3344 ]
[ -0.3916, -40.1863, -0.226523, -19.895, -0.696498, 0.629755, 0.550492 ]
[ -0.342711, -40.2854, 0.174847, -20.639, -0.594521, 0.28463, 0.631526 ]
[ 0.0972889, -39.6908, 0.0745044, -20.143, -0.696498, 0.600994, 0.415434 ]
[ -0.293822, -40.0377, 0.0243331, -20.391, -0.543533, 0.600994, 0.469457 ]
[ -0.0493778, -40.0377, 0.425704, -20.8374, -0.64551, 0.399672, 0.442446 ]
[ -0.489378, -40.2359, 0.225018, -20.4902, -0.543533, 0.370911, 0.52348 ]
[ 0.0972889, -40.1863, -0.276695, -21.0358, -0.849462, 0.198349, 0.658538 ]
[ -0.0982667, -40.3845, 0.0243331, -20.887, -0.721992, 0.313391, 0.3344 ]
[ -0.3916, -40.2854, -0.0258383, -21.1846, -0.849462, 0.428432, 0.3344 ]
[ -0.196044, -40.7314, 0.425704, -20.9862, -0.569027, 0.112068, 0.658538 ]
[ -0.196044, -40.2854, 0.124676, -21.879, -0.696498, 0.28463, 0.71256 ]
[ 0.0972889, -41.1278, 0.174847, -22.0278, -0.747486, 0.313391, 0.388423 ]
[ -0.244933, -40.6818, 0.124676, -21.9286, -0.823968, 0.0833077, 0.442446 ]
[ -0.0982667, -41.2764, 0.0745044, -22.1766, -0.543533, 0.313391, 0.496469 ]
