[ 0.390622, -44.6955, -0.0760096, -21.9782, -0.00815684, 1.11868, -0.0707718 ]
[ -0.0493778, -44.6459, -0.276695, -22.1766, -0.0336509, 1.32, -0.0437604 ]
[ 0.0484, -44.4973, -0.0760096, -22.5734, -0.263098, 0.946119, 0.172331 ]
[ 0.341733, -44.3982, -0.126181, -22.0278, -0.0591451, 1.1762, 0.118308 ]
[ 0.341733, -44.6955, 0.27519, -22.5734, -0.288592, 1.20496, -0.151806 ]
[ -0.0982667, -43.754, -0.0258383, -22.0278, -0.135627, 0.831077, -0.0437604 ]
[ -0.0982667, -44.4477, -0.226523, -22.4246, -0.467051, 0.946119, -0.0167489 ]
[ -0.0982667, -44.4477, -0.226523, -22.4246, -0.467051, 0.946119, -0.0167489 ]
[ 0.0484, -43.7044, -0.427209, -22.0774, -0.365074, 0.974879, 0.172331 ]
[ 0.439511, -44.0513, -0.527551, -22.4246, -0.416063, 0.543473, -0.0707718 ]
[ 0.439511, -44.0513, -0.527551, -22.4246, -0.416063, 0.543473, -0.0707718 ]
[ 0.292844, -43.6053, -0.276695, -22.3254, -0.33958, 0.485953, -0.0977833 ]
[ -0.244933, -43.9522, -0.276695, -22.8214, -0.263098, 0.543473, -0.0437604 ]
[ -0.0493778, -44.0513, -0.577723, -23.5654, -0.237604, 0.112068, 0.14532 ]
[ -0.0493778, -44.0513, -0.577723, -23.5654, -0.237604, 0.112068, 0.14532 ]
[ 0.195067, -43.8531, -0.427209, -24.2102, -0.21211, -0.319337, -0.0167489 ]
[ 0.195067, -43.8531, -0.427209, -24.2102, -0.21211, -0.319337, -0.0167489 ]
[ -0.196044, -44.2495, -0.176352, -24.9542, -0.186616, -0.319337, 0.118308 ]
[ -0.196044, -44.2495, -0.176352, -24.9542, -0.186616, -0.319337, 0.118308 ]
[ 0.195067, -44.8937, -0.427209, -25.4998, -0.21211, -0.779503, -0.0977833 ]
[ 0.195067, -44.8937, -0.427209, -25.4998, -0.21211, -0.779503, -0.0977833 ]
[ -0.3916, -45.736, 0.0243331, -26.0454, -0.33958, -1.21091, 0.199343 ]
[ -0.3916, -45.736, 0.0243331, -26.0454, -0.33958, -1.21091, 0.199343 ]
[ -0.244933, -46.2811, -0.0258383, -26.7894, -0.467051, -1.15339, 0.172331 ]
[ -0.196044, -46.9253, 0.0243331, -26.343, -0.390568, -1.09587, -0.151806 ]
[ -0.0493778, -47.7676, -0.276695, -26.4918, -0.33958, -1.46975, 0.037274 ]
[ -0.0493778, -47.7676, -0.276695, -26.4918, -0.33958, -1.46975, 0.037274 ]
[ -0.293822, -48.4613, 0.174847, -26.5414, -0.314086, -1.7286, -0.0977833 ]
[ -0.293822, -48.4613, 0.174847, -26.5414, -0.314086, -1.7286, -0.0977833 ]
[ 0.243956, -48.9569, 0.0745044, -26.4422, -0.263098, -1.44099, -0.0167489 ]
[ 0.0972889, -48.7091, -0.126181, -26.5414, -0.110133, -1.78612, 0.226354 ]
[ 0.0972889, -48.7091, -0.126181, -26.5414, -0.110133, -1.78612, 0.226354 ]
[ -0.3916, -49.3533, -0.226523, -26.1446, -0.237604, -1.58479, 0.118308 ]
[ -0.196044, -49.4028, 0.325361, -26.2438, -0.0846392, -1.26843, -0.178818 ]
[ 0.195067, -49.8488, 0.124676, -25.7478, -0.186616, -1.52727, 0.0102626 ]
[ 0.146178, -50.4929, -0.326866, -25.847, -0.0336509, -1.38347, -0.0707718 ]
[ -0.147156, -50.3443, -0.276695, -25.4006, -0.263098, -1.09587, 0.172331 ]
[ -0.147156, -50.3443, -0.0258383, -25.3014, -0.33958, -1.32595, -0.0977833 ]
[ -0.147156, -50.3443, -0.0258383, -25.3014, -0.33958, -1.32595, -0.0977833 ]
[ -0.0493778, -51.0876, 0.124676, -25.2022, -0.135627, -1.12463, -0.0167489 ]
[ -0.196044, -50.9884, -0.276695, -25.1526, -0.135627, -1.41223, 0.14532 ]
[ -0.147156, -50.4434, -0.326866, -25.4502, -0.33958, -1.23967, -0.178818 ]
[ -0.147156, -50.4434, -0.326866, -25.4502, -0.33958, -1.23967, -0.178818 ]
[ -0.0982667, -50.7902, -0.176352, -25.103, -0.314086, -1.55603, -0.0437604 ]
[ 0.243956, -50.6911, 0.0745044, -25.4006, -0.263098, -1.18215, 0.172331 ]
[ -0.244933, -50.8893, -0.427209, -26.1446, -0.21211, -1.35471, -0.0707718 ]
[ -0.244933, -50.8893, -0.427209, -26.1446, -0.21211, -1.35471, -0.0707718 ]
[ -0.0982667, -50.9389, -0.126181, -26.591, -0.21211, -0.779503, -0.0437604 ]
[ -0.0982667, -50.9389, -0.126181, -26.591, -0.21211, -0.779503, -0.0437604 ]
[ 0.0484, -50.7902, 0.0745044, -26.839, -0.186616, -0.894545, 0.0912969 ]
[ 0.0484, -50.7902, 0.0745044, -26.839, -0.186616, -0.894545, 0.0912969 ]
[ -0.293822, -49.9974, 0.0243331, -26.4422, -0.365074, -0.664462, -0.151806 ]
[ -0.196044, -50.2452, -0.527551, -26.7894, -0.186616, -1.12463, -0.0167489 ]
[ 0.243956, -49.7001, 0.124676, -26.9382, -0.237604, -1.21091, 0.14532 ]
[ 0.243956, -49.7001, 0.124676, -26.9382, -0.237604, -1.21091, 0.14532 ]
[ 0.243956, -49.1551, 0.0745044, -26.591, -0.467051, -1.81488, -0.0977833 ]
[ -0.342711, -49.1551, -0.47738, -26.7894, -0.21211, -1.90116, -0.0707718 ]
[ -0.0493778, -48.4613, -0.427209, -26.839, -0.314086, -2.4476, 0.14532 ]
[ -0.0493778, -48.4613, -0.427209, -26.839, -0.314086, -2.4476, 0.14532 ]
[ 0.292844, -48.61, 0.124676, -27.087, -0.441557, -2.36132, 0.14532 ]
[ -0.342711, -48.0154, 0.225018, -27.0374, -0.365074, -2.41884, -0.0707718 ]
[ -0.342711, -48.0154, 0.225018, -27.0374, -0.365074, -2.41884, -0.0707718 ]
[ -0.0982667, -47.0739, -0.377037, -26.7398, -0.288592, -2.16, -0.0167489 ]
